netID,tau,sigma,modularity,clustering,avg_Path,assortativity,core_periphery,page_rank,cost1,cost2,cost3,cost4
667,5.00E+00,3.57E+00,0.77351111111111,0.65690318015318,4.78945945945946,-0.26200873362445,0.49333333333333,2.31411310477484,21.51495169,23.71758071,38.15025779,129.5577382
668,5.00E+00,3.12E+00,0.83378333333334,0.68414141414141,4.49485997873095,-0.23272042108967,0.42333333333333,2.46482960285922,19.17306755,21.3978641,36.11766368,133.1547019
669,5.00E+00,3.38E+00,0.81810555555555,0.73761244311244,5.62486850410267,-0.40221687492148,0.46333333333333,1.99708483663194,19.87392757,22.11433833,36.35271532,136.015808
670,5.00E+00,3.44E+00,0.79076666666667,0.71101037851038,2.86254019292605,-0.45405551064403,0.46333333333333,2.19791770815134,22.37899327,24.00469863,37.10244353,137.60788
671,5.00E+00,3.32E+00,0.79478888888889,0.71588811841753,4.91010743258057,-0.23135985959909,0.43333333333333,2.57060671463668,20.73797329,22.99283246,37.60742344,126.1836797
672,5.00E+00,3.20E+00,0.79591666666667,0.63766511266511,4.92960526315790,-0.21926741771496,0.43000000000000,2.09171401680054,20.27473796,23.15986501,40.10535463,127.0528611
673,5.00E+00,3.59E+00,0.76432777777778,0.65997746697747,4.54955586722768,-0.26359606726407,0.46333333333333,2.22110235544207,22.79332268,25.57847881,41.6044263,131.7401716
674,5.00E+00,3.23E+00,0.83622777777778,0.73697335997336,6.29239280774551,-0.39873773806672,0.43000000000000,2.37944043887481,21.97646558,24.11642011,36.9019262,132.6477351
675,5.00E+00,3.79E+00,0.78874444444445,0.67777952602953,4.70032725572698,-0.45748760639791,0.51000000000000,2.75322664641431,23.35198654,25.61375134,40.61238682,130.0852242
676,5.00E+00,3.58E+00,0.75738888888889,0.63677675265911,5.27609649122807,-0.30840566177875,0.46333333333333,2.89232668219647,20.58489347,23.29195533,41.43745001,127.3979008
677,5.00E+00,3.67E+00,0.79456666666666,0.70273213448059,5.02548209366391,-0.27677047808857,0.46000000000000,2.63134973373556,20.30435872,22.3531771,38.17539272,125.2355038
678,5.00E+00,3.95E+00,0.76658333333333,0.65251595626596,5.17593228094258,-0.26482925448416,0.53000000000000,2.40656938135494,22.50447249,25.08192488,40.6046274,132.4313469
679,5.00E+00,3.34E+00,0.76732777777778,0.64259956709957,4.60223367697595,-0.15119841228150,0.44666666666667,2.13777761271823,20.84359761,23.67620103,40.28900231,125.535914
680,5.00E+00,4.61E+00,0.76388333333333,0.73133075899188,3.28323699421965,-0.27421011678322,0.54000000000000,3.92615412229981,22.19956122,24.3776051,41.58991337,118.5607794
681,5.00E+00,4.12E+00,0.77537222222222,0.69610188547263,4.65784054133569,-0.22798429891590,0.54000000000000,2.81224545308460,22.58768398,24.74266412,40.2646586,127.3604504
682,5.00E+00,3.73E+00,0.81848888888889,0.69539790764791,3.87858805275407,-0.34426094698040,0.50333333333333,2.83316076630068,23.45711117,25.55212144,40.03696961,129.4201762
683,5.00E+00,4.10E+00,0.77532222222222,0.67062030779678,4.52734922861150,-0.34264449487466,0.51000000000000,3.38496520905574,22.87025846,25.41413042,42.86299535,126.5965433
684,5.00E+00,3.25E+00,0.79331905828854,0.69707731157731,4.01768264308981,-0.22022539207187,0.44558139534884,2.02771546279136,22.49020774,24.55794242,38.45102931,128.0996398
685,5.00E+00,3.23E+00,0.82305555555556,0.70545371295371,5.16382660687594,-0.21588603935389,0.44333333333333,1.93171304731212,21.55226065,23.75259958,37.65424962,127.0224793
686,5.00E+00,3.45E+00,0.80015130915310,0.75437867687868,3.74647022713321,-0.43992625896895,0.45788079470199,2.41448040452681,21.40607757,23.15933608,37.38507593,137.7595579
687,5.00E+00,3.81E+00,0.74379444444445,0.66335427970722,4.41584852734923,-0.35888441590577,0.51000000000000,2.62715544135106,22.72936639,25.45920639,41.90690533,128.3124824
688,5.00E+00,3.03E+00,0.83390000000000,0.73035209235209,2.69425511197663,-0.32299348866129,0.40333333333333,2.06231279467241,22.48191718,24.08946191,36.40039286,129.8379024
689,5.00E+00,3.82E+00,0.77719444444445,0.72271706071706,3.09908454496500,-0.33500581636337,0.51000000000000,2.38005165338927,22.5193761,24.42684621,39.02133248,137.7135881
690,5.00E+00,3.04E+00,0.80751666666667,0.73731918081918,3.73393574297189,-0.27499840492276,0.41000000000000,2.01878206548922,22.53224952,24.77275642,38.14398141,129.6967545
691,5.00E+00,4.13E+00,0.78231666666667,0.68522039072039,4.37308584686775,-0.33364383856117,0.55333333333333,2.42854563102257,24.86420157,26.51063393,39.6925969,137.7795233
692,5.00E+00,3.75E+00,0.79001887396386,0.66484521034521,3.76860934795153,-0.26087738459681,0.51853820598007,2.29964353185268,26.32040659,28.16570165,42.72199558,135.1607794
693,5.00E+00,3.42E+00,0.79954415514177,0.66728904428904,4.66777316735823,-0.22286147734359,0.43933554817276,2.06972784867208,21.92152334,24.32288125,38.87062365,130.7070018
694,5.00E+00,3.71E+00,0.80103420492048,0.70629958929959,4.56233009708738,-0.24102532719567,0.48558139534884,2.41034544523525,24.75258832,26.63288945,40.20360364,133.8589532
695,5.00E+00,4.11E+00,0.77640555555555,0.70975324675325,3.79589102277803,-0.40840353857203,0.55000000000000,2.74263227800219,24.16083282,26.06876218,40.31759718,136.7615534
696,5.00E+00,3.48E+00,0.80131111111111,0.73381818181818,4.02125734961556,-0.29391995111519,0.46333333333333,2.43741448600905,21.42162522,23.55158343,38.00509868,132.5415673
697,5.00E+00,4.25E+00,0.79057777777778,0.67726635962936,4.83153988868275,-0.34137854751768,0.53666666666667,3.68675386743803,24.42717217,26.57653632,43.06436166,118.6924184
698,5.00E+00,3.65E+00,0.78512222222222,0.68745354645355,3.57621440536013,-0.14605025953439,0.47333333333333,2.21522699913596,23.32684409,25.40932361,39.20738509,133.4683761
699,5.00E+00,3.88E+00,0.73688888888889,0.67739660923871,4.35771853688779,-0.24174204979950,0.49666666666667,2.86967968574489,24.38073045,26.552813,40.5019601,126.1267523
700,5.00E+00,3.66E+00,0.78437222222222,0.65662437562438,3.88060405851817,-0.27890663577755,0.49333333333333,2.12427470955140,24.21272075,25.95434307,40.44500368,130.4778519
701,6.00E+00,2.18E+00,0.36202222222222,0.06788600288600,2.75898989898990,-0.16018162766329,0.28333333333333,1.81630870718441,13.69645877,23.14100789,52.96230418,122.603097
702,6.00E+00,2.61E+00,0.36772222222222,0.06342796092796,2.73010101010101,0.01147111330573,0.33000000000000,2.16101488454888,13.63403939,23.23273144,52.50361753,122.2320891
703,6.00E+00,2.61E+00,0.36327222222222,0.11802880452880,2.74888888888889,-0.10724260265701,0.34000000000000,2.12274908153515,14.13888496,23.49981948,52.22128737,125.4293406
704,6.00E+00,2.79E+00,0.38831666666667,0.13405633255633,2.80929292929293,0.03332788225675,0.36000000000000,1.98020211276629,14.61437201,23.59689424,51.59844708,124.5961581
705,6.00E+00,2.64E+00,0.39321111111111,0.14267965367965,2.77191919191919,-0.11690655975988,0.32666666666667,2.50515092319232,13.90617837,23.35803341,52.61652851,119.7028302
706,6.00E+00,2.72E+00,0.40651666666667,0.14758831691185,2.76747474747475,-0.07584629211035,0.33000000000000,2.66762366723567,13.85336697,23.2931182,52.29121141,118.7479938
707,6.00E+00,2.72E+00,0.44191111111111,0.22713564213564,2.83454545454545,-0.02303023924788,0.37000000000000,2.20152629068130,14.59370356,23.56794989,52.16041899,120.3835912
708,6.00E+00,2.42E+00,0.46247777777778,0.21073881673882,2.84828282828283,-0.16277302366585,0.31333333333333,1.96315011762151,13.72141676,22.9264782,50.80532392,125.2032056
709,6.00E+00,2.99E+00,0.44939901325592,0.21071840148156,2.86222222222222,-0.07385939551152,0.36624584717608,2.81356256256759,14.66572745,23.42856255,51.22856565,116.7554386
710,6.00E+00,2.64E+00,0.47102777777778,0.26284587634588,2.88020202020202,-0.03561460855967,0.33666666666667,2.05421172321838,14.11248504,22.93031478,51.00677134,123.6992039
711,6.00E+00,3.43E+00,0.45824444444445,0.26707556887557,2.85252525252525,-0.09463756308417,0.39666666666667,3.75183652607738,14.9109176,23.564282,50.39159222,116.7876782
712,6.00E+00,2.99E+00,0.49967991523272,0.30932034632035,2.92929292929293,-0.14826361382976,0.40923588039867,2.10308563788299,15.41001965,23.70034836,52.17367933,125.208452
713,6.00E+00,3.30E+00,0.49918333333333,0.29909652920179,2.92505050505051,-0.08034109571920,0.40000000000000,2.68753399758520,15.49534188,23.79158921,50.48230072,120.5695965
714,6.00E+00,3.08E+00,0.49555555555556,0.32371168927691,2.92202020202020,-0.06694892828791,0.36333333333333,3.46378301091848,14.74066295,23.09698684,49.88194156,116.3320806
715,6.00E+00,3.07E+00,0.51482222222223,0.30409662559663,3.03393939393939,-0.09012362786552,0.37666666666667,2.21306214989377,15.11338514,23.06204547,50.48986961,121.9083528
716,6.00E+00,3.08E+00,0.51051111111112,0.34298675885518,2.96042053184910,-0.16680348054507,0.37666666666667,3.06795646950943,15.52122918,23.38917549,50.48262406,119.4177151
717,6.00E+00,3.16E+00,0.50155000000000,0.36811089074324,2.94989898989899,-0.15361629142721,0.37666666666667,2.72225571854790,15.17714981,23.41096308,49.2358067,120.5545118
718,6.00E+00,2.76E+00,0.57365555555556,0.38243156843157,3.17010101010101,-0.12957004897854,0.36333333333333,2.21407083104809,15.09114255,22.22553893,48.75238224,118.5005196
719,6.00E+00,3.17E+00,0.55677089656847,0.39475902855315,3.08787878787879,-0.09159363063091,0.39588039867110,2.56713379522587,16.11989674,23.43528175,49.13434491,120.3128727
720,6.00E+00,3.35E+00,0.60155555555556,0.40711553943133,3.13595959595960,-0.16816907560712,0.41333333333333,3.00509833874340,16.30478914,23.34910297,48.9045261,118.6150768
721,6.00E+00,3.43E+00,0.58926666666667,0.42974789692592,3.10101010101010,-0.13384474965230,0.41333333333333,2.86903924508560,15.70713116,22.73168771,48.04746383,116.7951394
722,6.00E+00,3.03E+00,0.57228888888889,0.40346947496948,3.07131313131313,-0.09170233401854,0.39666666666667,2.33687684591571,15.59735271,23.14280684,49.6789556,120.6700723
723,6.00E+00,3.86E+00,0.56272005827750,0.40600079386844,2.97878787878788,-0.20714092219088,0.42305647840532,4.39652902829450,15.78205842,23.33065299,49.38805271,111.662454
724,6.00E+00,3.31E+00,0.60751111111111,0.50944455544456,3.23939393939394,-0.20702439902887,0.42333333333333,3.52653422462853,15.84375165,22.00403055,47.00658651,118.0876145
725,6.00E+00,3.63E+00,0.56891111111111,0.47267840982547,3.03151515151515,-0.19863424758971,0.45666666666667,2.68217854704625,16.14489894,23.06356609,48.77154046,116.1266319
726,6.00E+00,3.29E+00,0.63283888888889,0.45900468305345,3.35595959595960,-0.09860955775298,0.41333333333333,2.77717157298473,16.27625371,22.14630815,46.41165893,117.246269
727,6.00E+00,3.68E+00,0.61973333333333,0.46460277141160,3.19356833642548,-0.11610916123487,0.48000000000000,2.44060112093727,17.85447366,24.0829123,48.36734693,118.8966283
728,6.00E+00,3.76E+00,0.59952777777778,0.48977556728580,3.12606060606061,-0.24157131990555,0.46666666666667,3.73840166786302,16.10076758,22.76198235,48.11326853,116.7340611
729,6.00E+00,4.15E+00,0.61433709047848,0.48311629627110,3.14677386105958,-0.22869840110565,0.48569536423841,4.14456773882560,17.66673308,24.108297,47.78384011,115.7035119
730,6.00E+00,3.95E+00,0.60736111111111,0.51216307867233,3.21272727272727,-0.14717974965818,0.44333333333333,4.60207494268839,15.92846905,22.16889452,45.5821402,114.8574459
731,6.00E+00,4.10E+00,0.64105804571693,0.52389896317992,3.22491058278982,-0.28499631086657,0.51275747508306,2.95134908491736,18.47300185,24.22386581,48.68391518,115.0534077
732,6.00E+00,4.57E+00,0.58749903422699,0.50343320500638,2.90974121607406,-0.08301285082040,0.42950166112957,5.91113123082004,18.24189213,24.82569303,46.93589762,108.4688874
733,6.00E+00,3.28E+00,0.69928333333333,0.58445796850209,3.81014223871367,-0.08555672310403,0.42000000000000,2.40361154909846,17.59822637,21.89319256,43.25688671,119.1983266
734,6.00E+00,3.93E+00,0.67962777777778,0.53828021531272,3.72954030096887,-0.29493070940319,0.50333333333333,3.06286928260216,18.13527938,22.5227613,46.75157164,116.7384939
735,6.00E+00,3.76E+00,0.70181666666667,0.66132152488035,3.72969696969697,-0.31250338623165,0.49000000000000,2.93393585358567,18.08606158,22.33757336,42.09107506,116.5049497
736,6.00E+00,3.33E+00,0.67842777777778,0.58452686202686,3.42242424242424,-0.17090584447609,0.39666666666667,3.21227990136317,16.49020024,21.68345725,43.52949847,116.1327406
737,6.00E+00,3.97E+00,0.67931369410933,0.59509965524671,3.75943104514533,-0.13249860664730,0.47940199335548,3.46909003335714,17.67880939,22.20586142,44.68058461,121.3384606
738,6.00E+00,3.78E+00,0.70582554276443,0.57766097791098,3.39948453608247,-0.23401739150537,0.49920265780731,2.42584380515749,19.22036746,24.33327879,46.51063798,119.9974857
739,6.00E+00,4.10E+00,0.70540000000000,0.57618260318375,3.63986806843950,-0.21344732573001,0.48000000000000,3.40602378838928,17.67268358,21.97248078,43.040888,115.426918
740,6.00E+00,4.43E+00,0.70673333333333,0.61722237991211,3.79823269513991,-0.16034364393458,0.52000000000000,4.19474141507251,19.15502708,23.03940019,44.48145412,121.0105604
741,6.00E+00,3.60E+00,0.63432777777778,0.55372543469602,3.79393939393939,-0.30220023610263,0.47000000000000,2.49101947230665,17.46672749,22.2736086,44.81400654,121.6466974
742,6.00E+00,5.27E+00,0.62858333333334,0.55617074411657,3.47086050915211,-0.29230945366038,0.60000000000000,5.08721603110050,20.27050574,24.85619816,49.08107564,106.1815775
743,6.00E+00,3.87E+00,0.69882222222222,0.59669637088058,3.66578947368421,-0.19726426445444,0.51333333333333,3.07942863618645,20.38587945,24.49776086,45.64613429,121.5810376
744,6.00E+00,4.02E+00,0.67170892153508,0.59623550314495,3.49334192439863,-0.20122024067002,0.52225913621263,2.95854855620256,19.81297841,24.53613332,47.29961716,120.9559438
745,6.00E+00,3.92E+00,0.75512222222222,0.62078874556816,4.36334946349674,-0.32469502178226,0.50333333333333,2.50631334802254,19.13662579,22.45691787,41.90545805,121.7597958
746,6.00E+00,4.29E+00,0.69534444444445,0.56970229065740,3.43750000000000,-0.28552573327100,0.53000000000000,3.11959559226262,20.58262371,24.96017261,47.30223659,111.1070961
747,6.00E+00,4.75E+00,0.67542777777778,0.62876615494007,3.46359649122807,-0.25933000051020,0.54333333333333,4.26439318386290,20.72181693,25.09561961,48.47203392,109.9254853
748,6.00E+00,3.74E+00,0.74088034348407,0.66176625954025,3.60441146155432,-0.21699487769117,0.45960132890366,3.16771201604500,18.70405222,22.61326868,41.29343205,111.0053059
749,6.00E+00,4.77E+00,0.65642763324908,0.56696766693826,3.32042920260888,-0.16204949786589,0.52239202657807,5.40156734900671,19.764836,24.95471518,46.94576652,113.4730272
750,6.00E+00,4.73E+00,0.69871745344974,0.64684793434793,3.47036082474227,-0.20494584518206,0.50272425249169,5.60197126278021,20.22819545,24.4983427,43.75499492,113.1134639
751,6.00E+00,4.35E+00,0.75186111111111,0.63785359476452,5.62136810798444,-0.34314260444161,0.55333333333333,3.53441657209660,22.49858717,25.01490187,43.818793,125.8301234
